r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,start_time
47,36,38,7,31,4,35,45,71,75,True,1506051661
73,54,38,62,68,21,61,65,60,75,True,1505926289
76,13,64,91,71,9,108,106,60,112,False,1508423783
47,77,55,7,68,18,40,13,60,111,False,1506034821
95,40,65,75,7,80,36,104,30,88,False,1505832841
13,42,65,16,68,1,4,64,71,111,False,1506038760
49,53,6,71,111,76,95,13,68,7,True,1506039713
93,40,38,7,27,36,56,65,68,88,False,1505836839
1,43,45,107,68,81,13,55,51,64,True,1507337446
73,36,2,68,107,1,101,38,64,88,True,1505936369
9,53,40,79,88,39,36,58,68,107,True,1505839986
46,77,71,65,68,39,53,41,7,30,True,1505939769
47,6,13,7,111,44,36,51,75,23,False,1505849165
9,47,108,64,7,61,20,13,75,107,False,1508685164
114,13,62,60,112,53,4,36,22,71,True,1508595726
41,9,4,60,68,114,40,55,107,37,True,1505844124
81,39,51,7,87,18,33,40,23,68,True,1505941575
6,40,45,86,3,36,81,65,7,87,True,1505841779
18,114,65,64,71,63,106,53,90,88,False,1505869210
113,49,69,71,86,13,81,45,60,112,False,1508408841
4,80,64,71,91,36,77,7,30,88,True,1508486393
54,15,13,51,27,109,106,112,88,64,False,1508400037
9,114,55,7,111,76,6,40,68,51,False,1505922674
46,40,41,7,68,61,13,78,51,3,False,1505930443
45,97,67,30,107,94,53,6,51,64,False,1505866732
25,54,13,66,107,9,20,15,7,64,False,1508501110
77,36,55,71,68,18,53,45,75,62,True,1505917982
109,36,7,51,111,8,106,13,27,88,False,1505852674
12,36,78,64,88,113,15,40,85,27,True,1505834787
73,36,7,69,31,13,78,4,27,88,True,1505837901
63,41,74,60,68,39,77,78,107,31,False,1505829460
44,41,64,60,68,1,43,51,50,7,True,1506132245
1,104,51,31,7,40,4,90,78,88,True,1505832544
106,109,104,107,3,13,81,53,92,88,True,1505828709
17,12,51,107,75,4,53,45,28,112,True,1508427198
40,49,65,27,60,39,63,78,7,30,False,1505845945
46,15,112,7,64,74,13,54,71,68,False,1507328585
18,58,65,68,60,4,47,88,7,31,True,1506047543
8,106,53,86,62,109,9,16,65,112,True,1505826241
113,58,86,62,78,6,40,65,87,51,True,1505933666
82,106,69,22,71,73,36,53,60,31,True,1506359032
113,11,41,7,68,18,13,38,16,64,True,1508404268
69,47,114,7,31,36,45,71,78,68,True,1505840657
69,46,33,7,3,19,13,106,64,91,False,1507333469
44,114,9,107,31,106,70,58,16,75,True,1508681403
53,106,55,27,23,25,12,13,60,30,False,1508578611
73,9,40,23,68,12,61,38,51,87,True,1505936977
47,81,65,62,68,15,13,41,9,31,False,1505843992
9,81,45,23,31,13,40,114,51,75,False,1508515380
106,40,77,7,31,109,13,78,86,60,False,1505837504
70,81,58,112,107,54,106,108,71,91,True,1508670745
45,9,114,75,7,18,13,58,23,31,True,1508662815
1,53,70,51,68,49,78,18,90,64,True,1507324161
13,18,7,88,75,9,6,53,71,20,False,1505848021
61,45,29,22,71,21,53,6,60,3,True,1505846105
77,39,65,60,111,13,54,7,68,28,True,1505862891
53,63,43,28,111,114,4,45,60,64,False,1506051168
